GSL_ID,NAME,SUB_NAME,ADDR,CITY,STATE,ZIP,TYPE_CNTRL,YR_1,NBD_1,NBR_1,DRATE_1,AVG_1,PRATE_1,YR_2,NBD_2,NBR_2,DRATE_2,AVG_2,PRATE_2,YR_3,NBD_3,NBR_3,DRATE_3,AVG_3,PRATE_3,FLAG_1,FLAG_2,PRGMS,CONG_DIST,REGION
022655,CAPRI INSTITUTE OF HAIR DESIGN,,268 BRICK BLVD,BRICK TOWN,NJ,08724,1 yr/Prop,95,         8,        41,19.5,,FL,94,        13,        70,18.6,,FL,93,        21,        65,32.3,,FL,,,B,04,02
021316,PENNCO TECH,,99 ERIAL RD,BLACKWOOD,NJ,08012,1 yr/Prop,95,        46,       245,18.8,,FL,94,        79,       340,23.2,,FL,93,        78,       378,20.6,,FL,,,B,01,02
022527,CONCORDE SCHOOL OF HAIR DESIGN,,ROUTE 35 & SUNSET AVENUE,OCEAN TOWNSHIP,NJ,07712,1 yr/Prop,95,        21,       114,18.4,,FL,94,        49,       144,34,,FL,93,        30,        97,30.9,,FL,,,F,12,02
023120,BERGEN COUNTY TECHNICAL SCHOOLS,,540 HUDSON STREET,HACKENSACK,NJ,07601,1 yr/Pub,95,         2,        24,18.3,*,FL,94,         7,        26,23.9,*,FL,93,         8,        43,18.6,,FL,,,F,09,02
025688,SUSSEX COUNTY COMMUNITY COLLEGE,,1 COLLEGE HILL,NEWTON,NJ,07860,2 yr/Pub,95,         6,        33,18.2,,FL,94,         8,        37,21.6,,FL,93,         7,        24,28.1,*,FL,,,F,05,02
002615,MIDDLESEX COUNTY COLLEGE,,155 MILL ROAD,EDISON,NJ,08818,2 yr/Pub,95,        95,       526,18.1,,FL,94,        71,       441,16.1,,FL,93,        55,       283,19.4,,FL,,,F,06,02
025869,STAR TECHNICAL INSTITUTE,,43 SOUTH WHITE HORSE PIKE,STRATFORD,NJ,08084,1 yr/Prop,95,        77,       431,17.9,,FL,94,        64,       345,18.6,,FL,93,        57,       337,16.9,,FL,,,B,01,02
020618,ROMAN ACADEMY OF BEAUTY CULTURE,,431 LAFAYETTE,HAWTHORNE,NJ,07506,1 yr/Prop,95,         7,        40,17.5,,FL,94,         5,        37,13.5,,FL,93,         8,        45,17.8,,FL,,,B,05,02
007506,LINCOLN TECHNICAL INSTITUTE,,2299 VAUXHALL RD,UNION,NJ,07083,2 yr/Prop,95,       162,       945,17.1,,FL,94,       191,       977,19.5,,FL,93,       228,       981,23.2,,FL,,,B,07,02
020923,RETS INSTITUTE,,103 PARK AVENUE,NUTLEY,NJ,07110,1 yr/Prop,95,        41,       245,16.7,,FL,94,        55,       250,22,,FL,93,        75,       333,22.5,,FL,,,B,08,02
020676,ATLANTIC COUNTY VOCATIONAL TECHNICA,L SCHOOL,5080 ATLANTIC AVENUE,MAYS LANDING,NJ,08330,1 yr/Pub,95,         0,         1,16.7,*,FL,94,         0,         1,25,*,FL,93,         1,         4,19,*,FL,,,F,02,02
007507,KATHARINE GIBBS SCHOOL,,33 PLYMOUTH STREET,MONTCLAIR,NJ,07042,2 yr/Prop,95,        79,       486,16.3,,FL,94,        67,       420,16,,FL,93,       117,       610,19.2,,FL,,,F,10,02
009228,DEVRY INSTITUTE,,630 U.S. HIGHWAY ONE,NORTH BRUNSWICK,NJ,08902,2 yr/Prop,95,       222,      1375,16.1,,FL,94,       245,      1302,18.8,,FL,93,       253,      1233,20.5,,FL,,,F,06,02
025039,WARREN COUNTY COMMUNITY COLLEGE,,475 ROUTE 57 WEST,WASHINGTON,NJ,07882,2 yr/Pub,95,         0,         8,15.8,*,FL,94,         2,         3,13.6,*,FL,93,         1,         8,14.8,*,FL,,,F,05,02
021867,STAR TECHNICAL INSTITUTE,,4313-R ROUTE 130 SOUTH,EDGEWATER PARK,NJ,08010,1 yr/Prop,95,        78,       496,15.7,,FL,94,       114,       589,19.4,,FL,93,       162,       691,23.4,,FL,,,B,03,02
007593,PARISIAN BEAUTY SCHOOL,,362 STATE ST,HACKENSACK,NJ,07601,1 yr/Prop,95,         8,        52,15.4,,FL,94,         9,        62,14.5,,FL,93,        15,        69,21.7,,FL,,,B,09,02
012090,REIGNBOW BEAUTY ACADEMY,,312 STATE STREET,PERTH AMBOY,NJ,08861,1 yr/Prop,95,        10,        65,15.4,,FL,94,        17,        82,20.7,,FL,93,        31,       100,31,,FL,C,,,13,02
011523,MORRIS COUNTY VOCATIONAL TECHNICAL,SCHOOL,400 EAST MAIN STREET,DENVILLE,NJ,07834,2 yr/Pub,95,         0,         2,15.4,*,FL,94,         0,         4,21.4,*,FL,93,         2,         7,30.8,*,FL,,,F,11,02
023019,BUSINESS TRAINING INSTITUTE,,4 FOREST AVENUE,PARAMUS,NJ,07652,1 yr/Prop,95,         2,        22,15.2,*,FL,94,         3,        21,18.9,*,FL,93,         7,        36,19.4,,FL,,,B,05,02
007731,RARITAN VALLEY COMMUNITY COLLEGE,,ROUTE 28 & LAMINGTON ROAD,NORTH BRANCH,NJ,08876,2 yr/Pub,95,        21,       139,15.1,,FL,94,        15,        86,17.4,,FL,93,        18,        92,19.6,,FL,,,F,11,02
006411,CHRIST HOSPITAL SCHOOL OF NURSING,,176 PALISADE AVENUE,JERSEY CITY,NJ,07306,600 hr/Priv,95,         1,        12,15,*,FL,94,         2,         3,25,*,FL,93,         0,         5,0,*,FL,,,F,13,02
025868,STAR TECHNICAL INSTITUTE,,1386 S DELSEA DR,VINELAND,NJ,08360,1 yr/Prop,95,        46,       319,14.4,,FL,94,        66,       307,21.5,,FL,93,        99,       343,28.9,,FL,,,B,02,02
007366,LINCOLN TECHNICAL INSTITUTE,,RT 130 N AT HADDONFIELD RD,PENNSAUKEN,NJ,08110,2 yr/Prop,95,        58,       407,14.3,,FL,94,        83,       454,18.3,,FL,93,        80,       396,20.2,,FL,,,B,01,02
011911,BRICK COMPUTER SCIENCE INSTITUTE,,515 HWY 70,BRICK,NJ,08723,1 yr/Prop,95,        31,       222,14,,FL,94,        43,       288,14.9,,FL,93,        53,       307,17.3,,FL,,,B,04,02
021037,CAPRI INSTITUTE OF HAIR DESIGN PARA,MUS,615 WINTERS AVE,PARAMUS,NJ,07652,1 yr/Prop,95,         7,        50,14,,FL,94,         8,        64,12.5,,FL,93,         4,        21,21.9,*,FL,,,B,05,02
002638,SAINT PETER'S COLLEGE,,2641 KENNEDY BOULEVARD,JERSEY CITY,NJ,07306,5 yr/Priv,95,        51,       374,13.6,,FL,94,        39,       339,11.5,,FL,93,        35,       247,14.2,,FL,,,F,13,02
025259,ARTISTIC ACADEMY OF HAIR DESIGN,,21-21 BROADWAY,FAIRLAWN,NJ,07410,600 hr/Prop,95,         1,        19,13.6,*,FL,94,         6,        35,17.1,,FL,93,         4,        27,11.1,*,FL,,,B,09,02
009994,PASSAIC COUNTY COMMUNITY COLLEGE,,1 COLLEGE BOULEVARD,PATERSON,NJ,07505,2 yr/Pub,95,        10,        74,13.5,,FL,94,        10,        57,17.5,,FL,93,        10,        55,18.2,,FL,,,F,08,02
022346,SHORE BEAUTY SCHOOL,,103 W. WASHINGTON AVENUE,PLEASANTVILLE,NJ,08232,1 yr/Prop,95,         5,        37,13.5,,FL,94,         7,        42,16.7,,FL,93,        10,        50,20,,FL,,,B,02,02
022237,NEW HORIZONS INSTITUTE OF COSMETOLO,GY,5518 BERGENLINE AVE,WEST NEW YORK,NJ,07093,1 yr/Prop,95,        17,       128,13.3,,FL,94,        40,       116,34.5,,FL,93,        47,       185,25.4,,FL,C,,,13,02
