OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC
02341000,Capps College,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
03001300,Marcell Royale Beauty Academy,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02255400,International School of Cosmetology,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00803800,Middlesex Community College,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
03005200,Interactive Learning Systems,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
03077700,Decker College,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02092100,Massachusetts School of Barbering & Men's Hairstyling,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00247500,Kemper Military School and College,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02292400,Columbia Beauty Academy,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00849100,Nebraska College of Business,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02107400,Jon Louis School of Beauty,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01096600,Aladdin Beauty College #9,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02306800,Platt College,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02090800,Newport School of Hairdressing,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00535100,Tennessee Technical Center - Morristown,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00694100,Dallas Christian College,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01073000,TRC - Jan Mar Beauty Academy,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02311700,Belleville Barber College,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02361500,Michigan Barber School,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
03008100,American College of Beauty Culture,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00750800,Plaza School of Technology,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02619000,Boardwalk & Marina Casino Dealer School of Atlantic City,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00843500,Interboro Institute,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00855500,Hair Design Institute at Livingston Street,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01191500,Drake Business School,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01191800,Drake School of the Bronx,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01314300,Jon Louis School of Beauty,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02583700,Municipal Training Center,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02616600,Shear Ego International School of Hair Design,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02066100,Ohio State College of Barber Styling,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02326400,Tri-City Barber School,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00528200,Tennessee Technology Center at Hartsville,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01046000,American Baptist Theological Seminary,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02285200,Hair Design School (The),1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00357900,Jacksonville College,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01127700,Aladdin Beauty College #1,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01249200,Aladdin Beauty College #26,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02281700,Aladdin Beauty College #17,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02331300,Interactive Learning Systems,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
03068800,Aladdin Beauty College #28,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02340000,Colonial Heights Beauty Academy,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01274300,Benjamin Franklin Career & Technical Center,1997,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
03115700,North American Technical College,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%
03019500,Macon Beauty School,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%
02311700,Belleville Barber College,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%
02361500,Michigan Barber School,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%
02292400,Columbia Beauty Academy,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%
00750800,Plaza School of Technology,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%
02326400,Tri-City Barber School,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%
00341700,Allen University,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%
02336000,Volunteer Beauty Academy,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%
