OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC
00569300,John M Patterson State Technical College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02363500,Arkansas Continental Beauty College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00118800,Compton Community College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00697300,Canada College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00847800,Moler Barber College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01159800,Orange County Business College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02208600,Madera Beauty College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02255400,International School of Cosmetology,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02342400,Academy of Radio & TV Broadcasting,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02496000,Huntington College of Dental Technology,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02553100,Associated Technical College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02553500,Associated Technical College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02602200,North American Heating & Air Conditioning Training Center,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
03066900,IntelliTec College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01041700,Connecticut Institute of Hair Design,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02058900,Harvard H Ellis Regional Vocational Technical School,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02077700,Roffler Academy of Hairstylists,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02139400,Leon's Institute of Hair Design,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02156300,Margate School of Beauty,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02200100,Bradenton Beauty & Barber Academy,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02346300,US Schools,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02577700,Beauty College of America,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
03019500,Macon Beauty School,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02572500,Davenport Barber Styling College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00769300,Shawnee Community College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02185400,Saint Augustine College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02291200,Cannella School of Hair Design,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02536700,Bell Mar Beauty College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02287300,Academy of Hair Care,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02490700,Hair Fashions by Kaye Beauty College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02522900,East Kentucky Beauty College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02560800,Southeast School of Cosmetology,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
03026200,Head's West Kentucky Beauty College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00547200,Louisiana Technical College - Sidney N. Collier Campus,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00675600,Louisiana Technical College - Sullivan Campus,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02493400,Alexandria Academy of Beauty Culture,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
03061400,Ascension College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01292200,Broms Academy,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02122000,New England Hair Academy,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01315500,O\E Learning Center,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02609900,SER Business and Technical Institute,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
