OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC
02355600,International Institute of Transporation Resources,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01061200,University Beauty College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02314900,Advanced Career Training,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02139000,Craft Institute (The),1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02262700,Delaware County Institute of Training,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02058400,Gordon Phillips School of Beauty Culture,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01204700,"MTA School, Resident School",1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02348100,Palmer Business Institute,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02495200,Fashion Merchandising & Technical Institute,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02584400,New England Tractor Trailer Training School of Massachusetts,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02328300,Chris Logan Career College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02310300,Columbia Beauty School,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01256200,California Paramedical & Technical College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01186500,California Hair Design Academy,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02125000,Career Academy of Beauty,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02318500,Century Schools,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02313800,Consolidated Welding Schools,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02069600,Dean's Westside Beauty College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02221200,International Academy of Cosmetology,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00718200,First California Beauty College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02521300,International Dealers School,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00715600,Marinello Schools of Beauty,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00449400,Bryman College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02119000,Oxnard Beauty College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01284200,Oxnard College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02605800,Pacific Coast College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02255600,Paramount School of Beauty,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02059800,Paris Beauty College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02051200,San Luis Obispo Beauty College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02064300,Sierra College of Beauty,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01294000,United Artist Beauty College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02061700,Wayne's College of Beauty,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02288600,Western Truck School,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02594400,Western Truck School,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02205400,AAA Midwest Beauty College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02253400,Academy of Floral Design,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02130800,Americana Beauty College III,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02541600,Capitol City Barber College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00754700,Denver Automotive & Diesel College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00450700,Parks College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02526500,Automation Academy,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02132800,National Conservatory of Dramatic Arts,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02346200,AMI American Motorcycle Institute,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02186300,Avanti Hair Tech,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02333800,Avanti Hair Tech,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02575800,Avanti Hair Tech,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02515400,City College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02187700,Crown Business Institute Miami,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02363600,Daytona Beauty School,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02591400,Diesel Institute of America,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02547600,Florida National College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00814600,Florida Metropolitan University,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02140900,Hair Design School (The),1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02057900,Hollywood Institute of Beauty Careers,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02493500,International Academy of Hairstyling,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02285300,Key Power Technical Institute,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02287100,La Belle Beauty School,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02148400,Largo Beauty Academy,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02260000,Le Reve School of Cosmetology,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02148300,Manhattan Beauty School,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02205600,Palm Beach Beauty & Barber School,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02524000,Sunstate Academy of Hair Design,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00453100,Phillips Junior College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02115300,Pinellas Technical Education Centers - St. Petersburg Campus,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01021000,Prospect Hall School of Business,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
03026700,Avanti Hair Tech,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02204000,Eldorado Academy of Cosmetology,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02331000,Maryland Beauty Academy of Essex,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02310000,Ron Thomas School of Cosmetology,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02214700,Almas Beauty College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02318300,American Career Academy,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00987800,Craigs College Of Beauty,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00227100,Highland Park Community College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02055800,Michigan College of Beauty,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01065600,State College of Beauty,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01071200,State College of Beauty,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01151200,State College of Beauty,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00973400,Virginia Farrell Beauty School,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00973600,Virginia Farrell Beauty School,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02260500,Summit Academy Opportunities Industrialization Center,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02234400,Academy of Beauty Culture,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02266100,Eastern Jackson County College of Allied Health,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
