OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC
00117600,West Hills Community College,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00704700,Los Angeles Southwest College,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00705000,Bay Vista College of Beauty,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00760600,Bryman College,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00793000,Concorde Career Institute,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00807100,Concorde Career Institute,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00809000,Bryman College,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01111600,Sawyer College,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01112100,Bryman College,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01112200,Sawyer College,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01231700,Tulare Beauty College,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02054900,Elegante Beauty Colleges,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02116800,Irvine College of Business,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02128300,Institute for Business & Technology,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02141900,San Gorgonio Beauty College,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02165000,Eldorado College,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02204700,Marin Beauty College,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02328400,Rosston Schools of Mens Hair Design,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02345800,Montebello Beauty College,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02515500,California Business Institute,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02561100,Leeds Pacific College,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02624000,Platt College,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
03004900,American Nanny College,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02112300,Ridley - Lowell Business & Technical Institute,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01266500,Harrison Center for Career Education,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02132800,National Conservatory of Dramatic Arts,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00411000,Saint Vincent's Medical Center School of Radiologic Technology,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00752500,Suwannee-Hamilton Technical Center,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00758600,Remington College - Tampa Campus,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02357400,Arlington Beauty Care Academy,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00562100,Griffin Technical College,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02585300,Pages University of Cosmetology,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00793700,Ms Roberts Academy of Beauty Culture,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02302400,Hair Professional School of Cosmetology,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02311700,Belleville Barber College,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00967000,Wright Beauty College,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02199100,Academy of Hair Design,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00191600,Fort Scott Community College,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00817200,Southwest Kansas Technical School,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01172500,Collins School of Cosmetology,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01273300,Kentucky Technical - Knox County Area Technology Center,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
03036000,School of Business & Banking,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02353500,Stefans Beauty College,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02358600,Stage One Hair School,1994,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
