OPE_ID,NAME,ADDR,CITY,ST_CD,ST_DESC,ZIP,ZIP_EXT,Country,PGM_LEN,SCH_TYPE,YR_1,NBD_1,NBR_1,DRATE_1,AVG_1,PRATE_1,YR_2,NBD_2,NBR_2,DRATE_2,AVG_2,PRATE_2,YR_3,NBD_3,NBR_3,DRATE_3,AVG_3,PRATE_3,ETH_CERT,PROGRAM,CON_DIST,REGION,AVGOR_GE30
009119,Universite de Moncton,Universite de Moncton,Moncton,ZZ,,,,"New Brunswick, CANADA E1A 3E9",Master's Degree or Doctor's Degree,Frgn Pub,1999,1,1,100,*,FL,1998,0,0,0,*,FL,1997,0,0,0,*,FL,,F,,11,1
022610,Universidad Panamericana,Augusto Rodin No. 498,Mexico City,ZZ,,,,MEXICO 03920,Master's Degree or Doctor's Degree,Frgn Priv,1999,1,1,100,*,FL,1998,0,0,0,*,FL,1997,0,0,0,*,FL,,F,,11,1
026043,Aalborg University,Frederiks Bajers Vej 5,Aalborg East,ZZ,,,,DENMARK 9220,Master's Degree or Doctor's Degree,Frgn Pub,1999,0,0,100,*,FL,1998,1,1,100,*,FL,1997,0,0,0,*,FL,,F,,11,1
030922,London Guildhall University,31 Jewry Street,London,ZZ,,,,ENGLAND EC3N 2EY,Master's Degree or Doctor's Degree,Frgn Pub,1999,1,1,100,*,FL,1998,0,0,0,*,FL,1997,0,0,0,*,FL,,F,,11,1
006690,University of Copenhagen,Norregrade 10,Copenhagen,ZZ,,,,DENMARK 1017,Master's Degree or Doctor's Degree,Frgn Pub,1999,0,0,50,*,FL,1998,0,1,33.3,*,FL,1997,1,1,50,*,FL,,F,,11,1
009414,Universidad Autonoma de Santo Domingo,Avenida Alma Mater,Santo Domingo,ZZ,,,,DOMINICAN REPUBLIC APDO 1355,First Professional Degree,Frgn Pub,1999,0,1,50,*,FL,1998,1,1,33.3,*,FL,1997,1,2,11.1,*,FL,,F,,11,1
031053,Shehebar Sephardic Center,26 Galed Street,Jerusalem,ZZ,,,,ISRAEL *****,Non-Degree (600-899 hours),Frgn Priv,1999,0,0,50,*,FL,1998,0,0,50,*,FL,1997,1,2,50,*,FL,,F,,11,1
006850,University of Cambridge - Downing College,Downing College,Cambridge,ZZ,,,,"Cambridgeshire, ENGLAND CB2   1DQ",Master's Degree or Doctor's Degree,Frgn Pub,1999,0,1,33.3,*,FL,1998,0,1,33.3,*,FL,1997,1,1,50,*,FL,,F,,11,1
009421,Brandon University,270-18th Street,Brandon,ZZ,,,,"Manitoba, CANADA R7A   6A9",Master's Degree or Doctor's Degree,Frgn Pub,1999,0,0,33.3,*,FL,1998,1,3,50,*,FL,1997,0,0,100,*,FL,,F,,11,1
012337,Wroclaw University of Medicine,ul. Pasteura 1,Wroclaw,ZZ,,,,"*, POLAND 50-367",Master's Degree or Doctor's Degree,Frgn Pub,1999,0,2,33.3,*,FL,1998,1,1,50,*,FL,1997,0,0,0,*,FL,,F,,11,1
