OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC
03972300,Cuttin' Up Beauty Academy,2008,"Immediate loss of FFEL, and FDSLP ",Current year greater than 40 
03110000,Academy of Healing Arts,2008,"Immediate loss of FFEL, and FDSLP ",Current year greater than 40 
00492300,Clinton Junior College,2008,"Immediate loss of FFEL, and FDSLP ",Current year greater than 40 
02178200,Charleston school of Beauty Culture,2008,"Immediate loss of FFEL, FDSLP and PELL ",Three CDRs equal to 25.0% or greater
03123200,Human Resource Development and Employment-Stanley Technical Institute,2008,"Immediate loss of FFEL, FDSLP and PELL ",Three CDRs equal to 25.0% or greater
,,,,
,,,,
