OPE_ID,NAME,ADDR,CITY,ST_CD,ST_DESC,ZIP,ZIP_EXT,Country,PGM_LEN,SCH_TYPE,YR_1,NBD_1,NBR_1,DRATE_1,AVG_1,PRATE_1,YR_2,NBD_2,NBR_2,DRATE_2,AVG_2,PRATE_2,YR_3,NBD_3,NBR_3,DRATE_3,AVG_3,PRATE_3,ETH_CERT,PROGRAM,CON_DIST,REGION,AVGOR_GE30
020954,Drama Centre London,176 Prince of Wales Road,London,ZZ,,,,ENGLAND NW5   3PT,Bachelor,Frgn Priv,1998,0,0,100,*,FL,1997,0,0,100,*,FL,1996,1,1,100,*,FL,,F,,11,1
026043,Aalborg University,Frederiks Bajers Vej 5,Aalborg,ZZ,,,,DENMARK 9200,300-599 CH,Frgn,1998,1,1,100,*,FL,1997,0,0,0,*,FL,1996,0,0,0,*,FL,,F,,11,1
009421,Brandon University,270-18th Street,Brandon,ZZ,,,,"Manitoba, CANADA R7A   6A9",Master/Dr,Frgn Pub,1998,1,3,50,*,FL,1997,0,0,100,*,FL,1996,1,1,50,*,FL,,F,,11,1
012337,Wroclaw University of Medicine,ul. Pasteura 1,Wroclaw,ZZ,,,,"*, POLAND 50-367",Master/Dr,Frgn Pub,1998,1,1,50,*,FL,1997,0,0,0,*,FL,1996,0,1,33.3,*,FL,,F,,11,1
021777,University of Cambridge - King's College,,Cambridge,ZZ,,,,ENGLAND CB2   1ST,300-599 CH,Frgn,1998,0,0,50,*,FL,1997,0,1,33.3,*,FL,1996,1,1,50,*,FL,,F,,11,1
021805,Middlesex University,Bramley Road,London,ZZ,,,,ENGLAND N14 4Y2,Master/Dr,Frgn Pub,1998,0,0,50,*,FL,1997,1,3,33.3,*,FL,1996,1,1,25,*,FL,,F,,11,1
023319,University of London - London Hospital Medical College,Turner Street,London,ZZ,,,,ENGLAND E1    2AD,300-599 CH,Frgn,1998,0,0,50,*,FL,1997,0,0,50,*,FL,1996,1,2,50,*,FL,,F,,11,1
030295,University of Northumbria at Newcastle,Ellison Building,Newcastle Upon Tyne,ZZ,,,,"Tyne & Wear, ENGLAND NE1 8ST",Master/Dr,Frgn Pub,1998,0,0,50,*,FL,1997,0,1,33.3,*,FL,1996,1,1,33.3,*,FL,,F,,11,1
031053,Shehebar Sephardic Center,26 Galed Street,Jerusalem,ZZ,,,,ISRAEL *****,600-899 CH,Frgn Priv,1998,0,0,50,*,FL,1997,1,2,50,*,FL,1996,1,2,50,*,FL,,F,,11,1
008148,University of Winnipeg,515 Portage Avenue,Winnipeg,ZZ,,,,"MB, CANADA R3B 2E9",Master/Dr,Frgn Pub,1998,0,2,40,*,FL,1997,0,1,66.7,*,FL,1996,2,2,75,*,FL,,F,,11,1
