OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC
02552100,American Business College,2000,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
03023800,Aims Academy,2000,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02341000,Capps College,2000,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00843500,Interboro Institute,2000,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02552100,American Business College,2000,Potential or immediate loss of Pell,Three CDRs equal to 25.0% or greater
03023800,Aims Academy,2000,Potential or immediate loss of Pell,Three CDRs equal to 25.0% or greater
02341000,Capps College,2000,Potential or immediate loss of Pell,Three CDRs equal to 25.0% or greater
00843500,Interboro Institute,2000,Potential or immediate loss of Pell,Three CDRs equal to 25.0% or greater
03249300,Metro Technical Institute,2000,"Immediate loss of GSL, FFEL, and FDSLP",One CDR exceeding 40.0%
