OPE_ID,NAME,ADDR,CITY,ST_CD,ST_DESC,ZIP,ZIP_EXT,Country,PGM_LEN,SCH_TYPE,YR_1,NBD_1,NBR_1,DRATE_1,AVG_1,PRATE_1,YR_2,NBD_2,NBR_2,DRATE_2,AVG_2,PRATE_2,YR_3,NBD_3,NBR_3,DRATE_3,AVG_3,PRATE_3,ETH_CERT,PROGRAM,CON_DIST,REGION,AVGOR_GE30
002041,University of Maine - Fort Kent,23 University Drive,Fort Kent,ME,Maine,04743,1292,,Bachelor's Degree,Pub,2003,12,131,9.1,,FL,2002,9,135,6.6,,FL,2001,10,114,8.7,,FL,,B,02,01,1
009826,Kennebec Valley Community College,92 Western Ave,Fairfield,ME,Maine,04937,1367,,Associate's Degree,Pub,2003,16,175,9.1,,FL,2002,12,190,6.3,,FL,2001,18,192,9.3,,FL,,F,02,01,1
009231,Washington County Community College,One College Drive,Calais,ME,Maine,04619,9704,,Associate's Degree,Pub,2003,5,57,8.7,,FL,2002,9,87,10.3,,FL,2001,11,68,16.1,,FL,,F,02,01,1
009292,Andover College,901 Washington Avenue,Portland,ME,Maine,04103,2791,,Associate's Degree,Prop,2003,26,316,8.2,,FL,2002,29,355,8.1,,FL,2001,33,357,9.2,,FL,,F,01,01,1
005204,Beal College,99 Farm Road,Bangor,ME,Maine,04401,6896,,Associate's Degree,Prop,2003,14,171,8.1,,FL,2002,18,145,12.4,,FL,2001,31,205,15.1,,FL,,B,02,01,1
009038,Mr Bernard's School of Hair Fashion,711 Lisbon Street,Lewiston,ME,Maine,04240,6627,,Non-Degree 1 Year (900-1799 hours),Prop,2003,5,67,7.4,,DL,2002,10,82,12.1,,DL,2001,7,51,13.7,,DL,,B,02,01,1
006760,University of Maine - Augusta,46 University Drive,Augusta,ME,Maine,04330,9410,,Bachelor's Degree,Pub,2003,76,1127,6.7,,DU,2002,119,1115,10.6,,DU,2001,122,1209,10,,DU,,B,01,01,1
031229,York County Community College,112 College Drive,Wells,ME,Maine,04090,0529,,Associate's Degree,Pub,2003,9,145,6.2,,FL,2002,13,114,11.4,,FL,2001,14,86,16.2,,FL,,F,01,01,1
011673,Maine College of Art,97 Spring Street,Portland,ME,Maine,04101,3987,,Master's Degree or Doctor's Degree,Priv,2003,8,146,5.4,,FL,2002,3,147,2,,FL,2001,9,117,7.6,,FL,,F,01,01,1
005277,Eastern Maine Community College,354 Hogan Road,Bangor,ME,Maine,04401,4280,,Associate's Degree,Pub,2003,14,266,5.2,,FL,2002,25,287,8.7,,FL,2001,30,245,12.2,,FL,,F,02,01,1
023471,New England School of Communications,1 College Circle,Bangor,ME,Maine,04401,2999,,Bachelor's Degree,Priv,2003,4,76,5.2,,DU,2002,9,73,12.3,,DU,2001,5,66,7.5,,DU,,B,02,01,1
002033,University of Maine - Presque Isle,181 Main Street,Presque Isle,ME,Maine,04769,2888,,Bachelor's Degree,Pub,2003,14,278,5,,DU,2002,18,295,6.1,,DU,2001,26,290,8.9,,DU,,B,02,01,1
002035,Bangor Theological Seminary,300 Union Street,Bangor,ME,Maine,04401,4642,,Master's Degree or Doctor's Degree,Priv,2003,1,15,4.6,*,FL,2002,1,13,6.2,*,FL,2001,0,15,3.4,*,FL,,F,02,01,1
005525,Southern Maine Community College,2 Fort Road,South Portland,ME,Maine,04106,1698,,Associate's Degree,Pub,2003,18,447,4,,FL,2002,23,445,5.1,,FL,2001,20,428,4.6,,FL,,F,01,01,1
