OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC
00111900,Barstow Community College,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00118800,Compton Community College,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00121700,Lassen College,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00121900,Long Beach City College,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00125900,Palo Verde College,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00126700,Merritt College,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00227100,Highland Park Community College,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00316900,Oklahoma Junior College of Business & Technology,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00459400,"Detroit Business Institute, Southfield",1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00470200,Detroit Business Institute,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00494000,Millerhawkins Business College,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00697300,Canada College,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00714900,Newberry Schools of Beauty,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00749000,Lincoln Technical Institute,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00755300,Michigan Career Institute,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00767000,Pro Schools,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00767100,Pro Schools,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00767500,Pro Schools,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00767600,Pro Schools,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00767700,Pro Schools,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00780900,Wilfred Academy of Hair & Beauty Culture,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00794400,Watterson College,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00814600,Florida Metropolitan University,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00864900,Paul's Beauty College,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00865100,Wilfred Academy,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00894900,Wilfred Academy of Hair & Beauty Culture,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00923000,Wayne County Community College District,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00943500,Phillips Junior College At Birmingham,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00948200,Mansfield Business College,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00965900,Kenmar Beauty Academy,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00971700,Vogue Academy of Beauty Culture,1990,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
