opeid,name,state,cohort year,prior loss,date
2115300,Pinellas Technical Education Centers - St. Petersburg,FL,1991,0,10/7/1993
2125000,Career Academy of Beauty,CA,1991,0,10/7/1993
2140900,Hair Desiqn School (The),FL,1991,0,10/7/1993
2144700,Medical Career College,TN,1991,0,10/7/1993
2154900,Missouri School of Barberinq  & Hairstylinq-St.  Louis,MO,1991,0,10/7/1993
2155200,Flair Beauty Institute,VA,1991,0,10/7/1993
2158900,Don Roberts Hair Designing  Academy,IN,1991,0,10/7/1993
2159100,Appalachian Beauty School,KY,1991,0,10/7/1993
2182400,Omni Technical School,FL,1991,0,10/7/1993
2187700,Crown Business  Institute Miami,FL,1991,0,10/7/1993
2197300,Hollywood Cosmetology  Center,OK,1991,0,10/7/1993
2205600,Palm Beach Beauty & Barber School,FL,1991,0,10/7/1993
2221200,International  Academy of Cosmetoloqy,CA,1991,0,10/7/1993
2247800,Wenatchee College of Beauty,WA,1991,0,10/7/1993
2253400,Academy of Floral Desiqn,co,1991,0,10/7/1993
2255600,Marinello  School of Beauty,CA,1991,0,10/7/1993
2285000,Scientific  Beauty Academy,AL,1991,0,10/7/1993
2285300,Key Power Technical  Institute,FL,1991,0,10/7/1993
2290700,International  Hair Institute,MO,1991,0,10/7/1993
2292900,Perryville Area Career and Technoloqy Center,MO,1991,0,10/7/1993
2307900,Mangums  Barber & Hairstyling College,sc,1991,0,10/7/1993
2324300,Careercom  Colleqe of Business,OH,1991,0,10/7/1993
2309900,Lewis Weinberger  & Hill Beauty School,OH,1991,0,10/8/1993
2310300,Columbia  Beauty School,sc,1991,0,10/8/1993
2313800,Consolidated Weldinq Schools,CA,1991,0,10/8/1993
2323800,Gaither & Company  Beauty College,AL,1991,0,10/8/1993
2329200,Victor Georqe Beauty Academy,OH,1991,0,10/8/1993
2333800,Avanti Hair Tech,FL,1991,0,10/8/1993
2333900,Rome Academy of Cosmetology,IL,1991,0,10/8/1993
2336600,Progressive  Hair Arts Beauty College,MO,1991,0,10/8/1993
2336800,Portable Practical Educational  Preparatory  Trng Cent,AZ,1991,0,10/8/1993
2337600,Northwest Beauty School,MD,1991,0,10/8/1993
2343100,Northwest  Arkansas Colleqe of Cosmetoloqy,AR,1991,0,10/8/1993
2346400,Lady Helen's School of Beauty,ID,1991,0,10/8/1993
2348300,Piedmont College of Hair Design,sc,1991,0,10/8/1993
2351700,Donta School of Beauty Culture,KY,1991,0,10/8/1993
2352300,Jesode Hatorah,NY,1991,0,10/8/1993
2363600,Daytona Beauty School,FL,1991,0,10/8/1993
2490300,Omaha Opportunities Industrialization Center,NE,1991,0,10/8/1993
2491400,Spanish-American Institute,NY,1991,0,10/8/1993
2493400,Alexandria Academy of Beauty Culture,LA,1991,0,10/8/1993
2494500,Chenier Business School,TX,1991,0,10/8/1993
2494600,Chenier,TX,1991,0,10/8/1993
2495200,Fashion Merchandisinq & Technical Institute,PR,1991,0,10/8/1993
2518200,Jocelyn Daspit Beauty Colleqes Jeffeson Branch,LA,1991,0,10/8/1993
2521300,International  Dealers School,CA,1991,0,10/8/1993
2526300,Marshall College of Beauty,TX,1991,0,10/8/1993
2526500,Automation  Academy,DC,1991,0,10/8/1993
2527500,Houston Training Schools,TX,1991,0,10/8/1993
2528400,Charlotte Diesel Driving School,NC,1991,0,10/8/1993
2529500,Hamrick  School,OH,1991,0,10/8/1993
2536200,National Education Center National Institute of Tech C,Ml,1991,0,10/8/1993
2538100,Mr John's School of Cosmetology,IL,1991,0,10/8/1993
2541600,Capitol City Barber College,co,1991,0,10/8/1993
2547600,Florida National College,FL,1991,0,10/8/1993
2568900,Professional  Drivers Institute,Ml,1991,0,10/8/1993
2570500,Commercial Drive Institute,IN,1991,0,10/8/1993
2573300,Advance School of Drivinq,CA,1991,0,10/8/1993
2575800,Avanti Hair Tech,FL,1991,0,10/8/1993
2580300,Mansfield School of Business,VA,1991,0,10/8/1993
2622600,Academy of Hair Design,OH,1991,0,10/8/1993
3026800,Chenier,TX,1991,0,10/8/1993
125900,Palo Verde College,CA,1991,1,11/9/1993
227100,Highland Park Community  College,Ml,1991,1,11/9/1993
450200,City College of San Francisco,CA,1991,1,11/9/1993
493200,Draughons College,GA,1991,1,11/9/1993
494000,Millerhawkins Business College,TN,1991,1,11/9/1993
714900,Newberry  Schools of Beauty,CA,1991,1,11/9/1993
733300,Louisiana Technical  College - Jefferson Campus  Met,LA,1991,1,11/9/1993
767100,Pro Schools,WI,1991,1,11/9/1993
767500,Pro Schools,WI,1991,1,11/9/1993
893900,Cannella School of Hair Design,IL,1991,1,11/9/1993
902200,Associated Technical College,CA,1991,1,11/9/1993
947600,Mr. Johns School of Cosmetology,IL,1991,1,11/9/1993
960700,House of Heavilin Beauty College,MO,1991,1,11/9/1993
961300,Merrillville  Beauty College,IN,1991,1,11/9/1993
971700,Vogue Academy of Beauty Culture,IL,1991,1,11/9/1993
973400,Virginia Farrell Beauty School,Ml,1991,1,11/9/1993
973600,Virginia Farrell Beauty School,Ml,1991,1,11/9/1993
985000,Juante Faire Academy of Hair Design,TX,1991,1,11/9/1993
987800,Craigs College Of Beauty,Ml,1991,1,11/9/1993
1006200,Metropolitan Community  College,IL,1991,1,11/9/1993
1024500,Commercial College of Shreveport,LA,1991,1,11/9/1993
1041300,Vogue College School of Hair Design #5,TX,1991,1,11/9/1993
1055800,Debbie's School of Beauty Culture,IL,1991,1,11/9/1993
1081000,Commercial College of Baton Rouge,LA,1991,1,11/9/1993
1123700,Southern Community  College,AL,1991,1,11/9/1993
1127400,Vogue Beauty College #1,TX,1991,1,11/9/1993
715600,Marinello  Schools of Beauty,CA,1991,0,10/13/1993
2214600,Bnos Jerusalem  Seminary,NY,1991,0,10/13/1993
2249900,Delta Beauty Colleqe,MS,1991,0,10/13/1993
2276500,Portsmouth  School of Beauty Culture,VA,1991,1,10/14/1993
3032200,Aladdin Beauty College #32,TX,1991,0,10/21/1993
2498800,Mahanna  Career Institute,NY,1991,0,10/26/1993
1197100,Trend Beauty College,IL,1991,1,11/16/1993
1199100,Belzer Yeshiva,NY,1991,1,11/16/1993
1224900,Texas Beauty College,TX,1991,1,11/16/1993
1242600,John's Beauty Colleqe,TX,1991,1,11/16/1993
1244600,Universal Colleqe of Beauty,CA,1991,1,11/16/1993
1248100,Dolphin Technical Institutes,TX,1991,1,11/16/1993
1284800,Moler Hollywood  Beauty Colleqe,OH,1991,1,11/16/1993
1300300,Neilson  Beauty College,TX,1991,1,11/16/1993
1301000,Lancaster Beauty School,CA,1991,1,11/16/1993
1309200,Voque Beauty Colleqe #4,TX,1991,1,11/16/1993
2055600,Larry's Academy of Hairstyling,LA,1991,1,11/16/1993
2055800,Michigan  College of Beauty,Ml,1991,1,11/16/1993
2071600,Madame  Daniel's School of Beauty Culture,VA,1991,1,11/16/1993
2120200,Washington DC Beauty Academy,DC,1991,1,11/16/1993
2132400,Barclay Colleqe,CA,1991,1,11/16/1993
2499700,Career Development Institute,AL,1991,1,11/16/1993
2579400,Draughons College of Nursing  Assistance,TX,1991,1,11/16/1993
2581300,Career Development Institute,AL,1991,1,11/16/1993
2585400,Professional  Career Ctr,LA,1991,1,11/16/1993
2593500,Southwest Colleqe,CA,1991,1,11/16/1993
1150600,Indiana Barber/Stylist College,IN,1991,1,11/16/1993
1151200,State College of Beauty,Ml,1991,1,11/16/1993
1155400,International  Renowned Beauty Academy,TX,1991,1,11/16/1993
1192500,Washington Heights Beauty School,NY,1991,1,11/16/1993
2154100,Romar Beauty Academy,FL,1991,1,11/16/1993
2154500,Larry's Academy of Hairstylinq,LA,1991,1,11/16/1993
2154700,Miami Technical Institute,FL,1991,1,11/16/1993
2166800,John Amico's School of Hair Design,IL,1991,1,11/16/1993
2190200,Vogue Beauty College #12,TX,1991,1,11/16/1993
2190300,Vogue Beauty College #8,TX,1991,1,11/16/1993
2197700,Pat Goins Pine Bluff Beauty School,AR,1991,1,11/16/1993
2200400,Sikeston Beauty Colleqe,MO,1991,1,11/16/1993
2205000,Mr David's School of Hair Desiqn,NC,1991,1,11/16/1993
2214700,Almas Beauty College,Ml,1991,1,11/16/1993
2216600,Moler Hairstyling College,IL,1991,1,11/16/1993
2234400,Academy of Beauty Culture,MO,1991,1,11/16/1993
2239100,Central Texas Beauty College #2,TX,1991,1,11/16/1993
2246700,Martin College,FL,1991,1,11/16/1993
2251100,Health Care Traininq Institute,TN,1991,1,11/16/1993
2260500,Summit Academy Opportunities Industrialization Cent,MN,1991,1,11/16/1993
2264300,Voque Colleqe School of Hair Desiqn #18,TX,1991,1,11/16/1993
2265200,Global Business  Institute,NY,1991,1,11/16/1993
2269300,Stevenson's  Academy of Hair Design,LA,1991,1,11/16/1993
2276300,Reese's School of Hair Design,TX,1991,1,11/16/1993
2284200,New Tyler Barber College,AR,1991,1,11/16/1993
2286700,Mr. Arnold's Excellence  Beauty School,FL,1991,1,11/16/1993
2292000,Diesel Truck Driver Train School,WI,1991,1,11/16/1993
2294100,Pazazz Hair School,TN,1991,1,11/16/1993
2294500,Flair Beauty Institute,VA,1991,1,11/16/1993
2295500,Cannella School of Hair Desiqn,IL,1991,1,11/16/1993
2303100,Sarasota Beauty School,FL,1991,1,11/16/1993
2310000,Ron Thomas School of Cosmetology,MD,1991,1,11/16/1993
2316100,International  Career Institute,FL,1991,1,11/16/1993
2318300,American Career Academy,Ml,1991,1,11/16/1993
2319500,Charles  Academy of Beauty Culture,AL,1991,1,11/16/1993
2331000,Maryland Beauty Academy of Essex,MD,1991,1,11/16/1993
2347400,Moore Career College,MS,1991,1,11/16/1993
1291600,Hair Desiqn School (The),KY,1991,1,11/17/1993
2058000,Art of Beauty Colleqe,LA,1991,1,11/17/1993
3021500,SW School of Business & Technical  Careers,TX,1991,1,11/17/1993
1054400,Pro Schools,WI,1991,1,11/17/1993
1006300,Delta Career College,LA,1991,1,11/18/1993
704400,Crowley's Ridge Technical  Institute,AR,1991,0,1/13/1994
778400,Massey Business College,TX,1991,0,1/13/1994
892300,Classic Beauty Colleges,AZ,1991,0,1/13/1994
966800,Flamingo Beauty College,IL,1991,0,1/14/1994
966900,Flamingo Beauty College,IL,1991,0,1/14/1994
987400,Moline Beauty School,IL,1991,0,1/14/1994
1019400,Classic Beauty Colleges,AZ,1991,0,1/14/1994
1153600,Tusla Academy of Hairstyling,OK,1991,0,1/14/1994
1234500,Flaminqo Beauty Colleqe,IL,1991,0,1/14/1994
1280900,Capri School of Beauty Culture,IL,1991,0,1/14/1994
1287900,Pat Goins Benton Road Beauty School,LA,1991,0,1/14/1994
2059600,AI Tate Beauty Colleqe,CA,1991,0,1/14/1994
2076400,Vogue Beauty College #9,TX,1991,0,1/14/1994
2086800,Flaminqo Beauty Colleqe,IL,1991,0,1/14/1994
2168100,Tri County Career Center/Adult  Career Center,OH,1991,0,1/14/1994
2206500,Sprinq Branch Beauty Colleqe,TX,1991,0,1/14/1994
2251700,Foster's Cosmetoloqy Colleqe,MS,1991,0,1/14/1994
2263600,Bastrop Beauty School #1,LA,1991,0,1/14/1994
2267400,Crown College of Cosmetology,IN,1991,0,1/14/1994
2288600,Western  Truck School,CA,1991,0,1/14/1994
2290300,Flamingo Beauty College,IL,1991,0,1/14/1994
2339600,Roqers Academy of Hair Desiqn,IN,1991,0,1/14/1994
2352400,Voque Colleqe of Cosmetoloqy #25,TX,1991,0,1/14/1994
2356500,American Beauty Academy,MS,1991,0,1/14/1994
2594400,Western  Truck School,CA,1991,0,1/14/1994
2615300,PSI Institute of Washington,MD,1991,0,1/14/1994
765500,Selan's System of Beauty Culture,IL,1991,0,2/22/1994
2255000,Knoxville Institute of Hair Design,TN,1991,0,3/15/1994
3023000,Advance Institute,NC,1991,0,3/15/1994
2524300,Roberts Institute of Hair Desiqn of Brooklyn,MD,1991,0,4/14/1994
2177100,Hair Desiqn School (The),KY,1991,0,6/17/1994
2133900,Bayou TechI Ins!,LA,1991,0,2/7/1994
2350800,Academy of Hair Desiqn,OH,1991,0,5/10/1994
2218300,S.W. School of Business & Technical  Careers,TX,1991,1,10/21/1994
2266100,Eastern Jackson  County College of Allied Health,MO,1991,1,10/21/1994
2088200,Jordan Colleqe,Ml,1991,1,3/15/1995
311200,Penn Ohio College,OH,1991,0,3/31/1995
311200,Penn Ohio College,OH,1991,0,3/31/1995
1240300,Meadows Business  Colleqe,GA,1991,0,6/6/1995
2211500,Texas Vocational School,TX,1991,0,6/7/1995
2220100,San Antonio Trade School,TX,1991,0,6/7/1995
718700,North Adrian's Beauty College,CA,1991,1,8/23/1995
988400,Aladdin Beauty College #4,TX,1991,0,11/4/1996
1096600,Aladdin Beauty College #9,OK,1991,0,11/4/1996
2100700,Aladdin Beauty Colleqe #8,TX,1991,0,11/4/1996
462100,Ayers Career College,LA,1991,0,11/6/1996
492400,Forrest Junior College,sc,1991,0,11/6/1996
754700,Lincoln College of Technology,co,1991,0,11/6/1996
1096900,Aladdin Beauty College #13,TX,1991,0,11/6/1996
1127700,Aladdin Beauty College #1,TX,1991,0,11/6/1996
1181000,Taylor Business  Institute,IL,1991,0,11/6/1996
1229900,Aladdin Beauty College #19,TX,1991,0,11/6/1996
1249200,Aladdin Beauty College #26,TX,1991,0,11/6/1996
1306600,Aladdin Beauty College #5,TX,1991,0,11/6/1996
2117900,Ross Technical Institute,Ml,1991,0,11/6/1996
2281400,Aladdin Beauty Colleqe #3,TX,1991,0,11/6/1996
2281600,Aladdin Beauty Colleqe #15,TX,1991,0,11/6/1996
2284300,Interactive College of Technology,GA,1991,0,11/6/1996
2323100,Pat Goins Shreveport  Beauty School,LA,1991,0,11/6/1996
2331300,Interactive Learninq Systems,TX,1991,0,11/6/1996
2339700,Ross Medical Education Center,Ml,1991,0,11/6/1996
2548800,South Texas Vocational Technical Institute,TX,1991,0,11/6/1996
2584400,New Enqland Tractor Trailer Traininq School of Mass,Rl,1991,0,11/6/1996
1183000,Berk Trade & Business  School,NY,1991,1,7/30/1996
1212800,Southwestern Colleqe,OH,1991,0,9/25/1996
2139000,Craft Institute (The),PA,1991,0,10/18/1996
2180100,Ross Medical Education Center,Ml,1991,0,10/22/1996
2262700,Delaware County Institute of Traininq,PA,1991,0,10/23/1996
2314900,Advanced Career Traininq,PA,1991,0,10/29/1996
2344400,Gordon Phillips School of Beauty Culture,MD,1991,0,1/15/1997
1197900,Blake Business  School,NY,1991,0,7/24/1997
316900,Oklahoma  Junior Colleqe of Business & Technoloqy,OK,1992,1,3/3/1995
316900,Oklahoma  Junior Colleqe of Business & Technoloqy,OK,1992,1,3/3/1995
2088200,Jordan College,Ml,1992,1,3/15/1995
2166900,Scharfenberg Beauty Academy,IL,1992,0,3/31/1995
2522000,Moler Barber College,OR,1992,0,3/31/1995
465000,Chesapeake College,MD,1992,0,1/4/1995
531200,Red River Technology  Center,OK,1992,0,1/4/1995
531900,Foothills Technical  Institute,AR,1992,0,1/4/1995
533900,Metro Technoloqy Centers School District #22,OK,1992,0,1/4/1995
542900,Rolla Technical Institute/Center,MO,1992,0,1/4/1995
560500,Pinellas Technical Education Center- Clearwater Can,FL,1992,0,1/4/1995
576300,Central Georgia Technical  College,GA,1992,0,1/4/1995
712600,Federico Kern County College Beauty,CA,1992,0,1/4/1995
720400,Modern Beauty Academy - Oxnard,CA,1992,0,1/4/1995
736700,Marinello  Schools of Beauty,NV,1992,0,1/4/1995
752600,Washington Holmes Technical  Center,FL,1992,0,1/4/1995
782600,Berean Institute,PA,1992,0,1/4/1995
841600,Richards  Beauty Colleqe,CA,1992,0,1/4/1995
910400,Riverside  Hairstyling  Academy,FL,1992,0,1/4/1995
953700,Virqinia School of Hair Desiqn,VA,1992,0,1/4/1995
967400,Moler Beauty College,LA,1992,0,1/4/1995
989800,Demmon  School of Beauty,LA,1992,0,1/4/1995
996300,Caddo-Kiowa Area Vocational-Technical School Distn OK,,1992,0,1/4/1995
1046000,American Baptist Theological  Seminary,TN,1992,0,1/4/1995
1074100,Mellie's Beauty College,AR,1992,0,1/4/1995
1089500,Somerset  Beauty College,KY,1992,0,1/4/1995
1096000,Mansfield Beauty Academy,MA,1992,0,1/4/1995
1096200,Moore Universite' of Hair Desiqn,OH,1992,0,1/4/1995
1112600,Garces Commercial Colleqe,FL,1992,0,1/4/1995
1153700,Mid-America Area Vocational-Technical School Distri,OK,1992,0,1/4/1995
1163900,Rapid City Regional Hospital Medical Technology Pro,SD,1992,0,1/4/1995
1164600,Virginia Farrell Beauty School,Ml,1992,0,1/4/1995
1180000,Frederick's  Beauty College,OH,1992,0,1/4/1995
1229600,Vogue Beauty College #2,TX,1992,0,1/4/1995
1240400,Lexinqton Beauty Colleqe,KY,1992,0,1/4/1995
1246400,Bronx Beauty School,NY,1992,0,1/4/1995
1248400,Cambridqe Colleqe of Cosmetoloqy,TX,1992,0,1/4/1995
1249100,Vogue College of Cosmetology #21,TX,1992,0,1/4/1995
1249400,Mr Lee's Beauty School,WA,1992,0,1/4/1995
1255500,M.J. Murphy Beauty Colleqe of Saqinaw,Ml,1992,0,1/4/1995
1265000,Marinello  School of Beauty,CA,1992,0,1/4/1995
1265400,Renee's Cosmetoloqy  Ctr,TX,1992,0,1/4/1995
1273800,Kentucky Technical  - Mayfield/Graves County Area V,KY,1992,0,1/4/1995
1282300,Pat Goins Ruston Beauty School,LA,1992,0,1/4/1995
1288000,Pat Goins Beauty School,LA,1992,0,1/4/1995
1293100,Velma B's Beauty Academy,TX,1992,0,1/4/1995
1298900,Oceanside  Colleqe of Beauty,CA,1992,0,1/4/1995
1307400,American Beauty College,CA,1992,0,1/4/1995
1307700,Page Antelope Valley Beauty School,CA,1992,0,1/4/1995
1309500,Salon Success  Academy,CA,1992,0,1/4/1995
1309700,Salvatores  College of Hairstyling,CA,1992,0,1/4/1995
2056700,Sherrills University  of Hairstylinq & Cosmetoloqy,NC,1992,0,1/4/1995
2058600,Conlee's Colleqe of Cosmetoloqy,TX,1992,0,1/4/1995
2061300,Voque Beauty Colleqe #7,TX,1992,0,1/4/1995
2061600,Waynes Colleqe of Beauty,CA,1992,0,1/4/1995
2067600,Atlantic County Vocational School District,NJ,1992,0,1/4/1995
2105600,Vatterott Educational  Centers,MO,1992,0,1/4/1995
2122400,Santa Rosa Beauty College,CA,1992,0,1/4/1995
2122800,Mr Dels School of Cosmetology,FL,1992,0,1/4/1995
2125800,Progressive  Fashion School,OH,1992,0,1/4/1995
2139800,Webster  County Area Technoloqy  Center,KY,1992,0,1/4/1995
2142500,Beauty Careers Training Center,FL,1992,0,1/4/1995
2148200,Fashion Focus Hair Academy,FL,1992,0,1/4/1995
2148300,Manhattan Beauty School,FL,1992,0,1/4/1995
2149300,SCS Business and Technical Institute,NY,1992,0,1/4/1995
2177900,State Barber & Hair Desiqn Colleqe,OK,1992,0,1/4/1995
2178400,West Technical Education Center,FL,1992,0,1/4/1995
2182500,Mid South School of Beauty,TN,1992,0,1/4/1995
2186300,Avanti Hair Tech,FL,1992,0,1/4/1995
2189400,Ray-Mar Beauty Academy,FL,1992,0,1/4/1995
2191800,Moler Beauty College,LA,1992,0,1/4/1995
2202400,Professional  Cosmetoloqy Education Center,AR,1992,0,1/4/1995
2211000,Hairmasters  University of Beauty,CA,1992,0,1/4/1995
2211900,Cheeks International  Academy of Beauty Culture,WY,1992,0,1/4/1995
2214500,Salem College of Hairstyling,MO,1992,0,1/4/1995
2221300,Marinello  School of Beauty,CA,1992,0,1/4/1995
2223900,Drake College of Business,NJ,1992,0,1/4/1995
2236400,"Thanh Le College, School of Cosmetology",CA,1992,0,1/4/1995
2239300,Rice College,AL,1992,0,1/4/1995
2241600,San Diego Continuing  Education,CA,1992,0,1/4/1995
