OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC,Appeal Type,Appeal Status,Prior loss,loss date
247500,Kemper Military School and College,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,"Erroneous Data, Loan Servicing",Lose,0,2/22/2000
528200,Tennessee Technology Center at Hartsville,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
535100,Tennessee Technical Center - Morristown,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,11/22/1999
750800,Plaza School of Technology,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%,na,Lose,,
750800,Plaza School of Technology,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
803800,Middlesex Community College,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Request of Adjustment,Lose,0,11/29/1999
843500,lnterboro Institute,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,"Erroneous Data, Loan Servicing",Lose,,
855500,Hair Design Institute at Livingston Street,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,"Erroneous Data, Loan Servicing",Lose,,
1046000,American Baptist Theological Seminary,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
1073000,TRC - Jan Mar Beauty Academy,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,11/22/1999
1096600,Aladdin Beauty College #9,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,11/22/1999
1127700,Aladdin Beauty College #1,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Request of Adjustment,Lose,,
1191500,Drake Business School,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Loan Servicing,Lose,,
1191800,Drake School of the Bronx,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Loan Servicing,Lose,,
1249200,Aladdin Beauty College #26,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%,na,Lose,,
1249200,Aladdin Beauty College #26,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
1274300,Benjamin Franklin Career & Technical Center,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
1314300,Jon Louis School of Beauty,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2066100,Ohio State College of Barber Styling,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2107400,Jon Louis School of Beauty,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Loan Servicing,Lose,0,2/2/2000
2255400,International School of Cosmetology,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,11/22/1999
2281700,Aladdin Beauty College #17,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2285200,Hair Design School (The),1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2292400,Columbia  Beauty Academy,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%,na,Lose,0,11/22/1999
