OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC,Appeal Type,Appeal Status,Prior loss,loss date
2292400,Columbia  Beauty Academy,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,11/22/1999
2306800,Platt College,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,"Request of Adjustment, Loan Servicing",Lose,,
2311700,Belleville Barber College,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%,na,Lose,,
2311700,Belleville Barber College,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2326400,Tri-City Barber School,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%,na,Lose,,
2326400,Tri-City Barber School,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2331300,Interactive Learning Systems,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2340000,Colonial Heights Beauty Academy,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2341000,Capps College,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Loan Servicing,Lose,0,2/7/2000
2361500,Michigan Barber School,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%,na,Lose,,
2361500,Michigan Barber School,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2583700,Municipal Training Center,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2616600,Shear Ego International School of Hair Design,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2619000,Boardwalk & Marina Casino Dealer School of Atlantic City,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
3001300,Marcell Royale Beauty Academy,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,11/18/1999
3005200,Interactive Learning Systems,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,2/7/2000
3008100,American College of Beauty Culture,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
3068800,Aladdin Beauty College #28,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Request of Adjustment,Lose,,
341700,Allen University,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%,Erroneous Data,Win,,
357900,Jacksonville College,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Request of Adjustment,Win,,
363800,Texas College,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%,Erroneous Data,Win,,
694100,Dallas Christian College,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,"Loan Servicing, Uncorrected Data Adjustment",Win,,
849100,Nebraska College of Business,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,"Request of Adjustment, Loan Servicing",Win,,
2090800,Newport School of Hairdressing,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Mitigating Circumstances,Win
2092100,Massachusetts School of Barbering & Men's Hairstyling,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Request of Adjustment,Win
2336000,Volunteer Beauty Academy,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%,Erroneous Data,Win
2521800,Seguin Beauty School,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%,Mitigating Circumstances,Win
3019500,Macon Beauty School,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%,Erroneous Data,Win
3077700,Decker College,1997,"Immediate loss of GSL, FFEL, and FDSLP, potential or immediate loss of Pell",Three CDRs equal to 25.0% or greater,Erroneous Data,Win
3106400,American Weld Testing School,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%,Mitigating Circumstances,Win
3115700,North American Technical College,1997,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%,Mitigating Circumstances,Win
