OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC,Appeal Type,Appeal Status,Prior loss,loss date,
3050800,Universal Business & Media School,1996,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%,na,lose,,
3089900,Yonkers Beauty Culture School,1996,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%,na,lose,,
3106400,American Weld Testing School,1996,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%,na,lose,,
127200,San Bernardino Valley College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
130900,Taft College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Mitigating Circumstances,Win,,
357900,Jacksonville College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Loan Servicing,Lose,0,3/9/1999
449400,Bryman College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Mitigating Circumstances,Win,,
462100,Ayers Institute,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Request for Adjustment,Lose,,
482500,Taylor Business Institute,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
528200,Tennessee Technology Center at Hartsville,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
547200,Louisiana Technical College - Sidney N. Collier Campus,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
569800,Douglas MacArthur State Technical College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,1/11/1999
576300,Central Georgia Technical College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
697300,Canada College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
736700,Marinello Schools of Beauty,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
738800,Sciences,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Loan Servicing,Lose,,
750800,Plaza School of Technology,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,1/11/1999
752500,Suwannee-Hamilton Technical Center,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
775200,Jon Louis School of Beauty,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Loan Servicing,Lose,,
843500,lnterboro Institute,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
847800,Moler Barber College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
855500,Hair Design Institute at Livingston Street,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
887400,Brio Academy of Cosmetology,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Request for Adjustment,Win,,
941600,Nasson Institute,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,na,Lose,,
943300,Sherman Kendall's Academy of Beauty Arts & Sciences,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
951900,Advanced Hair Tech Academy,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,1/11/1999
953700,Virginia School of Hair Design,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
957800,Jon Louis School of Beauty,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,na,Lose,,
961300,Merrillville Beauty College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
970800,Eve's College of Hairstyling,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
1001700,Payne Theological Seminary,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Loan Servicing,Lose,,
1006200,Metropolitan Community College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
1011100,Cerro Coso Community College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Mitigating Circumstances,Win,,
1021000,Prospect Hall School of Business,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
1041700,Connecticut Institute of Hair Design,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
1046000,American Baptist Theological Seminary,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
1065600,State College of Beauty,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Loan Servicing,Lose,0,6/22/1999
1127700,Aladdin Beauty College #1,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
1163100,"D-Jay's School of Beauty, Arts & Sciences",1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
1172500,Collins School of Cosmetology,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
1190200,Cannella School of Hair Design,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,1/11/1999
1191500,Drake Business School,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
1191700,Drake School of Manhattan,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
1191800,Drake School of the Bronx,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Loan Servicing,Lose,,
