OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC
02326600,Alaska Computer Institute,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02341000,Capps College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00569800,Douglas MacArthur State Technical College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02108000,New World College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00943500,Phillips Junior College At Birmingham,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02239300,Rice College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02599200,Southern Technical College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02363500,Arkansas Continental Beauty College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02272400,Eastern College of Health Vocations,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00531900,Foothills Technical Institute,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01074100,Mellie's Beauty College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02348200,Mid-South Community College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01063400,National Education Center - Arkansas College of Technology Campus,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02202400,Professional Cosmetology Education Center,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02109100,South Central Career College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02339800,Southern Institute of Cosmetology - Main Campus,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02599100,Remington College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00786200,Pat Goins Jonesboro Beauty School,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02062000,ABC Technical & Trade Schools,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02317800,American Institute of Technology,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02100600,Apollo College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00892400,Classic Beauty Colleges,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00518600,Lamson Junior College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01307400,American Beauty College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02565400,Maric College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02180600,Barstow Academy of Beauty,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00705000,Bay Vista College of Beauty,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01256200,California Paramedical & Technical College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02520200,California Career School,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00697300,Canada College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02541800,Canterbury Career Schools of Sacramento,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02619900,Catherine College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02141300,Dickinson Warren College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02353900,Dootson School of Trucking,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01287300,National Institute of Technology,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00927900,Edutek Professional Colleges,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02221300,Elegante Beauty Colleges,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01265000,Elegante Beauty Colleges,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00712600,Federico Kern County College Beauty,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01202700,Galen College of California,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00120200,Gavilan College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02211000,Hairmasters University of Beauty,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02593300,Heald College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02312400,Institute of Computer Technology,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02065800,Jon Et Dee,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01186600,Lu Ross Academy,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00720500,Marinello Schools of Beauty,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00720400,Modern Beauty Academy - Oxnard,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01111600,Sawyer College,1992,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
