OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC
00573200,University of Arkansas Community College at Hope,1998,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02581200,CC's Cosmetology College,1998,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02549400,South Texas Vocational Technical Institute,1998,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00573200,University of Arkansas Community College at Hope,1998,Potential or immediate loss of Pell,Three CDRs equal to 25.0% or greater
02581200,CC's Cosmetology College,1998,Potential or immediate loss of Pell,Three CDRs equal to 25.0% or greater
02549400,South Texas Vocational Technical Institute,1998,Potential or immediate loss of Pell,Three CDRs equal to 25.0% or greater
02341000,Capps College,1998,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
03005200,Interactive Learning Systems,1998,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02292400,Columbia Beauty Academy,1998,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02619000,Boardwalk & Marina Casino Dealer School of Atlantic City,1998,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
00843500,Interboro Institute,1998,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
01046000,American Baptist Theological Seminary,1998,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02340000,Colonial Heights Beauty Academy,1998,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater
02341000,Capps College,1998,Potential or immediate loss of Pell,Three CDRs equal to 25.0% or greater
03005200,Interactive Learning Systems,1998,Potential or immediate loss of Pell,Three CDRs equal to 25.0% or greater
02292400,Columbia Beauty Academy,1998,Potential or immediate loss of Pell,Three CDRs equal to 25.0% or greater
02619000,Boardwalk & Marina Casino Dealer School of Atlantic City,1998,Potential or immediate loss of Pell,Three CDRs equal to 25.0% or greater
00843500,Interboro Institute,1998,Potential or immediate loss of Pell,Three CDRs equal to 25.0% or greater
01046000,American Baptist Theological Seminary,1998,Potential or immediate loss of Pell,Three CDRs equal to 25.0% or greater
02340000,Colonial Heights Beauty Academy,1998,Potential or immediate loss of Pell,Three CDRs equal to 25.0% or greater
00470200,Detroit Business Institute,1998,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%
02619000,Boardwalk & Marina Casino Dealer School of Atlantic City,1998,"Limitation, suspension, or termination of Title IV",One CDR exceeding 40.0%
