opeid	name	year	imputed_recipients	imputed_pell_ind
832900	Itt Technical Institute	1987	665	1
844300	Itt Technical Institute	1987	246	1
908800	Itt Technical Institute	1987	392	1
1062700	Itt Technical Institute	1987	671	1
1185200	Itt Technical Institute	1987	335	1
2065200	Itt Technical Institute	1987	524	1
2120900	Itt Technical Institute	1987	247	1
2291500	Itt Technical Institute	1987	369	1
2291600	Itt Technical Institute	1987	244	1
2321700	Itt Technical Institute	1987	433	1
2321800	Itt Technical Institute	1987	343	1
2321900	Itt Technical Institute	1987	177	1
2328600	Itt Technical Institute	1987	302	1
2328700	Itt Technical Institute	1987	0	1
2359800	Itt Technical Institute	1987	649	1
2361000	Itt Technical Institute	1987	407	1
2361100	Itt Technical Institute	1987	316	1
455300	Itt Technical Institute	1988	478	1
732700	Itt Technical Institute	1988	1133	1
732900	Itt Technical Inst-Indianapolis	1988	1621	1
832900	Itt Technical Institute	1988	786	1
844300	Itt Technical Institute	1988	291	1
908800	Itt Technical Institute	1988	463	1
1062700	Itt Technical Institute	1988	793	1
1185200	Itt Technical Institute	1988	395	1
2065200	Itt Technical Institute	1988	619	1
2120900	Itt Technical Institute	1988	292	1
2291500	Itt Technical Institute	1988	436	1
2291600	Itt Technical Institute	1988	288	1
2321700	Itt Technical Institute	1988	512	1
2321800	Itt Technical Institute	1988	406	1
2321900	Itt Technical Institute	1988	209	1
2328600	Itt Technical Institute	1988	357	1
2328700	Itt Technical Institute	1988	0	1
2359800	Itt Technical Institute	1988	766	1
2361000	Itt Technical Institute	1988	481	1
2361100	Itt Technical Institute	1988	373	1
455300	Itt Technical Institute	1989	490	1
732700	Itt Technical Institute	1989	1161	1
732900	Itt Technical Inst-Indianapolis	1989	1660	1
832900	Itt Technical Institute	1989	805	1
844300	Itt Technical Institute	1989	298	1
908800	Itt Technical Institute	1989	474	1
1062700	Itt Technical Institute	1989	812	1
1185200	Itt Technical Institute	1989	405	1
2065200	Itt Technical Institute	1989	634	1
2120900	Itt Technical Institute	1989	299	1
2291500	Itt Technical Institute	1989	446	1
2291600	Itt Technical Institute	1989	295	1
2321700	Itt Technical Institute	1989	524	1
2321800	Itt Technical Institute	1989	415	1
2321900	Itt Technical Institute	1989	214	1
2328600	Itt Technical Institute	1989	366	1
2328700	Itt Technical Institute	1989	0	1
2359800	Itt Technical Institute	1989	785	1
2361000	Itt Technical Institute	1989	492	1
2361100	Itt Technical Institute	1989	382	1
455300	Itt Technical Institute	1990	523	1
732700	Itt Technical Institute	1990	1241	1
732900	Itt Technical Inst-Indianapolis	1990	1774	1
832900	Itt Technical Institute	1990	860	1
844300	Itt Technical Institute	1990	318	1
908800	Itt Technical Institute	1990	507	1
1062700	Itt Technical Institute	1990	868	1
1185200	Itt Technical Institute	1990	433	1
2065200	Itt Technical Institute	1990	677	1
2120900	Itt Technical Institute	1990	319	1
2291500	Itt Technical Institute	1990	477	1
2291600	Itt Technical Institute	1990	316	1
2321700	Itt Technical Institute	1990	560	1
2321800	Itt Technical Institute	1990	444	1
2321900	Itt Technical Institute	1990	228	1
2328600	Itt Technical Institute	1990	391	1
2328700	Itt Technical Institute	1990	0	1
2359800	Itt Technical Institute	1990	839	1
2361000	Itt Technical Institute	1990	526	1
2361100	Itt Technical Institute	1990	408	1
455300	Itt Technical Institute	1991	528	1
732700	Itt Technical Institute	1991	1253	1
732900	Itt Technical Inst-Indianapolis	1991	1791	1
832900	Itt Technical Institute	1991	868	1
844300	Itt Technical Institute	1991	321	1
908800	Itt Technical Institute	1991	512	1
1062700	Itt Technical Institute	1991	876	1
1185200	Itt Technical Institute	1991	437	1
2065200	Itt Technical Institute	1991	684	1
2120900	Itt Technical Institute	1991	323	1
2291500	Itt Technical Institute	1991	481	1
2291600	Itt Technical Institute	1991	319	1
2321700	Itt Technical Institute	1991	565	1
2321800	Itt Technical Institute	1991	448	1
2321900	Itt Technical Institute	1991	231	1
2328600	Itt Technical Institute	1991	395	1
2328700	Itt Technical Institute	1991	0	1
2359800	Itt Technical Institute	1991	847	1
2361000	Itt Technical Institute	1991	531	1
2361100	Itt Technical Institute	1991	412	1
455300	Itt Technical Institute	1992	609	1
732700	Itt Technical Institute	1992	1445	1
732900	Itt Technical Inst-Indianapolis	1992	2066	1
832900	Itt Technical Institute	1992	1002	1
844300	Itt Technical Institute	1992	370	1
908800	Itt Technical Institute	1992	591	1
1062700	Itt Technical Institute	1992	1011	1
1185200	Itt Technical Institute	1992	504	1
2065200	Itt Technical Institute	1992	789	1
2120900	Itt Technical Institute	1992	372	1
2291500	Itt Technical Institute	1992	555	1
2291600	Itt Technical Institute	1992	368	1
2321700	Itt Technical Institute	1992	652	1
2321800	Itt Technical Institute	1992	517	1
2321900	Itt Technical Institute	1992	266	1
2328600	Itt Technical Institute	1992	455	1
2328700	Itt Technical Institute	1992	0	1
2359800	Itt Technical Institute	1992	977	1
2361000	Itt Technical Institute	1992	613	1
2361100	Itt Technical Institute	1992	475	1
455300	Itt Techl Inst	1993	698	1
732700	Itt Techl Inst	1993	1654	1
732900	Itt Technical Inst-Indianapolis	1993	2366	1
832900	Itt Techl Inst	1993	1147	1
844300	Itt Technical Institute	1993	424	1
908800	Itt Techl Inst	1993	676	1
1062700	Itt Techl Inst	1993	1157	1
1185200	Itt Technical Institute	1993	577	1
2065200	Itt Technical Institute	1993	903	1
2120900	Itt Technical Institute	1993	426	1
2291500	Itt Technical Institute	1993	636	1
2291600	Itt Technical Institute	1993	421	1
2321700	Itt Technical Institute	1993	747	1
2321800	Itt Technical Institute	1993	592	1
2321900	Itt Technical Institute	1993	304	1
2328600	Itt Technical Institute	1993	521	1
2328700	Itt Technical Institute	1993	0	1
2359800	Itt Techl Inst	1993	1119	1
2361000	Itt Techl Inst	1993	702	1
